Opstina,Br_st1981,Umrli1981,Promili1981,Br_st1991,Umrli1991,Promili1991,Br_st2002,Umrli2002,Promili2002,Br_st2011,Umrli2011,Promili2011,Br_st2021,Umrli2021,Promili2021
Backa Palanka,"58155","116"," 1.99 ","58835","130"," 2.21 ","60966","201"," 3.30 ","55528","193"," 3.48 ","50642","200"," 3.95 "
Irig,"12413","37"," 2.98 ","11696","21"," 1.80 ","12329","46"," 3.73 ","10866","39"," 3.59 ","9676","33"," 3.41 "
Kikinda,"69864","120"," 1.72 ","69743","137"," 1.96 ","67002","211"," 3.15 ","59453","195"," 3.28 ","52668","207"," 3.93 "
Novi Sad,"250138","416"," 1.66 ","265464","571"," 2.15 ","299294","802"," 2.68 ","341625","1002"," 2.93 ","363789","979"," 2.69 "
Odzaci,"37967","59"," 1.55 ","37501","79"," 2.11 ","35582","106"," 2.98 ","30154","104"," 3.45 ","26312","105"," 3.99 "
Pancevo,"123791","207"," 1.67 ","125261","254"," 2.03 ","127162","318"," 2.50 ","123414","411"," 3.33 ","118163","373"," 3.16 "
Sombor,"99168","205"," 2.07 ","96105","252"," 2.62 ","97263","268"," 2.76 ","85903","317"," 3.69 ","76393","309"," 4.04 "
Srbobran,"18573","31"," 1.67 ","17365","38"," 2.19 ","17855","53"," 2.97 ","16317","58"," 3.55 ","15140","47"," 3.10 "
Sremska Mitrovica,"85129","153"," 1.80 ","85328","189"," 2.21 ","85902","240"," 2.79 ","79940","257"," 3.21 ","73884","232"," 3.14 "
Subotica,"154611","334"," 2.16 ","150534","443"," 2.94 ","148401","504"," 3.40 ","141554","493"," 3.48 ","134572","441"," 3.28 "
Temerin,"22557","42"," 1.86 ","24939","30"," 1.20 ","28275","91"," 3.22 ","28287","76"," 2.69 ","27487","101"," 3.67 "
Vrbas,"45756","66"," 1.44 ","46405","105"," 2.26 ","45852","123"," 2.68 ","42092","128"," 3.04 ","38119","117"," 3.07 "
Vrsac,"61005","101"," 1.66 ","58228","149"," 2.56 ","54369","126"," 2.32 ","52026","190"," 3.65 ","47984","127"," 2.65 "
